date,temperature,humidity,luminosity
2022-11-10 15:18:41.737,23.2,34.7,170
2022-11-10 15:18:40.459,23.2,34.7,170
2022-11-10 15:18:39.455,23.2,34.7,171
2022-11-10 15:18:38.181,23.3,34.8,170
2022-11-10 15:18:37.178,23.3,34.8,171
2022-11-10 15:18:35.901,23.3,34.8,171
2022-11-10 15:18:34.901,23.3,34.8,171
2022-11-10 15:18:33.622,23.3,34.8,170
2022-11-10 15:18:32.618,23.3,34.8,173
2022-11-10 15:18:31.341,23.3,34.7,171
2022-11-10 15:18:30.341,23.3,34.7,174
2022-11-10 15:18:29.064,23.2,34.7,164
2022-11-10 15:18:28.059,23.2,34.7,171
2022-11-10 15:18:26.785,23.2,34.7,171
2022-11-10 15:18:25.782,23.2,34.7,170
2022-11-10 15:18:24.505,23.2,34.7,171
2022-11-10 15:18:23.505,23.2,34.7,171
2022-11-10 15:18:22.227,23.2,34.7,170
2022-11-10 15:18:21.222,23.2,34.7,170
2022-11-10 15:18:19.945,23.2,34.6,169
2022-11-10 15:18:18.946,23.2,34.6,174
2022-11-10 15:18:17.668,23.2,34.6,175
2022-11-10 15:18:16.664,23.2,34.6,175
2022-11-10 15:18:15.389,23.2,34.6,175
2022-11-10 15:18:14.386,23.2,34.6,177
2022-11-10 15:18:13.107,23.2,34.6,176
2022-11-10 15:18:12.105,23.2,34.6,179
2022-11-10 15:18:10.831,23.2,34.6,179
2022-11-10 15:18:09.827,23.2,34.6,180
2022-11-10 15:18:08.549,23.2,34.6,179
2022-11-10 15:18:07.549,23.2,34.6,179
2022-11-10 15:18:06.271,23.2,34.5,180
2022-11-10 15:18:05.268,23.2,34.5,172
2022-11-10 15:18:03.993,23.2,34.5,171
2022-11-10 15:18:02.989,23.2,34.5,172
2022-11-10 15:18:01.712,23.2,34.5,173
2022-11-10 15:18:00.712,23.2,34.5,174
2022-11-10 15:17:59.434,23.2,34.4,175
2022-11-10 15:17:58.431,23.2,34.4,175
2022-11-10 15:17:57.153,23.3,34.5,172
2022-11-10 15:17:56.153,23.3,34.5,169
2022-11-10 15:17:54.875,23.2,34.4,168
2022-11-10 15:17:53.872,23.2,34.4,178
2022-11-10 15:17:52.597,23.2,34.4,178
2022-11-10 15:17:51.594,23.2,34.4,179
2022-11-10 15:17:50.316,23.2,34.3,177
2022-11-10 15:17:49.316,23.2,34.3,177
2022-11-10 15:17:48.038,23.2,34.3,177
2022-11-10 15:17:47.034,23.2,34.3,177
2022-11-10 15:17:45.755,23.2,34.3,177
2022-11-10 15:17:44.756,23.2,34.3,175
2022-11-10 15:17:43.478,23.2,34.3,176
2022-11-10 15:17:42.475,23.2,34.3,173
2022-11-10 15:17:41.201,23.2,34.3,170
2022-11-10 15:17:40.197,23.2,34.3,169
2022-11-10 15:17:38.919,23.2,34.3,170
2022-11-10 15:17:37.919,23.2,34.3,170
2022-11-10 15:17:36.642,23.2,34.3,169
2022-11-10 15:17:35.638,23.2,34.3,169
2022-11-10 15:17:34.363,23.2,34.3,170
2022-11-10 15:17:33.361,23.2,34.3,169
2022-11-10 15:17:32.082,23.2,34.3,169
2022-11-10 15:17:31.078,23.2,34.3,169
2022-11-10 15:17:29.804,23.2,34.3,170
2022-11-10 15:17:28.800,23.2,34.3,169
2022-11-10 15:17:27.522,23.2,34.3,169
2022-11-10 15:17:26.524,23.2,34.3,170
2022-11-10 15:17:25.245,23.2,34.3,170
2022-11-10 15:17:24.242,23.2,34.3,170
2022-11-10 15:17:22.967,23.2,34.2,169
2022-11-10 15:17:21.965,23.2,34.2,170
2022-11-10 15:17:20.685,23.2,34.2,168
2022-11-10 15:17:19.682,23.2,34.2,169
2022-11-10 15:17:18.408,23.2,34.2,177
2022-11-10 15:17:17.404,23.2,34.2,176
2022-11-10 15:17:16.126,23.2,34.2,177
2022-11-10 15:17:15.127,23.2,34.2,177
2022-11-10 15:17:13.849,23.2,34.2,176
2022-11-10 15:17:12.845,23.2,34.2,176
2022-11-10 15:17:11.568,23.2,34.2,170
2022-11-10 15:17:10.568,23.2,34.2,170
2022-11-10 15:17:09.289,23.3,34.3,170
2022-11-10 15:17:08.286,23.3,34.3,170
2022-11-10 15:17:07.012,23.2,34.2,170
2022-11-10 15:17:06.008,23.2,34.2,170
2022-11-10 15:17:04.730,23.2,34.2,170
2022-11-10 15:17:03.728,23.2,34.2,170
2022-11-10 15:17:02.452,23.2,34.2,170
2022-11-10 15:17:01.450,23.2,34.2,169
2022-11-10 15:17:00.172,23.2,34.2,170
2022-11-10 15:16:59.172,23.2,34.2,170
2022-11-10 15:16:57.893,23.2,34.3,169
2022-11-10 15:16:56.891,23.2,34.3,169
2022-11-10 15:16:55.612,23.2,34.3,169
2022-11-10 15:16:54.613,23.2,34.3,172
2022-11-10 15:16:53.334,23.2,34.3,178
2022-11-10 15:16:52.331,23.2,34.3,177
2022-11-10 15:16:51.057,23.2,34.2,178
2022-11-10 15:16:50.053,23.2,34.2,171
2022-11-10 15:16:48.775,23.2,34.2,171
2022-11-10 15:16:47.776,23.2,34.2,171
2022-11-10 15:16:46.497,23.2,34.2,171
2022-11-10 15:16:45.493,23.2,34.2,170
2022-11-10 15:16:44.215,23.2,34.3,170
2022-11-10 15:16:43.217,23.2,34.3,172
2022-11-10 15:16:41.939,23.2,34.3,171
2022-11-10 15:16:40.935,23.2,34.3,170
2022-11-10 15:16:39.661,23.2,34.2,171
2022-11-10 15:16:38.657,23.2,34.2,171
2022-11-10 15:16:37.379,23.2,34.2,170
2022-11-10 15:16:36.376,23.2,34.2,170
2022-11-10 15:16:35.101,23.3,34.3,172
2022-11-10 15:16:34.097,23.3,34.3,170
2022-11-10 15:16:32.820,23.3,34.2,170
2022-11-10 15:16:31.821,23.3,34.2,170
2022-11-10 15:16:30.542,23.3,34.2,171
2022-11-10 15:16:29.539,23.3,34.2,177
2022-11-10 15:16:28.265,23.3,34.2,177
2022-11-10 15:16:27.261,23.3,34.2,178
2022-11-10 15:16:25.983,23.3,34.2,177
2022-11-10 15:16:24.979,23.3,34.2,178
2022-11-10 15:16:23.705,23.2,34.2,178
2022-11-10 15:16:22.701,23.2,34.2,178
2022-11-10 15:16:21.424,23.2,34.2,177
2022-11-10 15:16:20.424,23.2,34.2,178
2022-11-10 15:16:19.145,23.3,34.3,178
2022-11-10 15:16:18.142,23.3,34.3,177
2022-11-10 15:16:16.864,23.3,34.3,177
2022-11-10 15:16:15.864,23.3,34.3,177
2022-11-10 15:16:14.586,23.2,34.2,178
2022-11-10 15:16:13.582,23.2,34.2,177
2022-11-10 15:16:12.308,23.2,34.2,176
2022-11-10 15:16:11.305,23.2,34.2,175
2022-11-10 15:16:10.027,23.2,34.2,177
2022-11-10 15:16:09.024,23.2,34.2,161
2022-11-10 15:16:07.749,23.2,34.2,163
2022-11-10 15:16:06.746,23.2,34.2,172
2022-11-10 15:16:05.468,23.3,34.3,177
2022-11-10 15:16:04.468,23.3,34.3,177
2022-11-10 15:16:03.190,23.2,34.3,177
2022-11-10 15:16:02.186,23.2,34.3,177
2022-11-10 15:16:00.909,23.2,34.2,178
2022-11-10 15:15:59.909,23.2,34.2,173
2022-11-10 15:15:58.631,23.3,34.3,172
2022-11-10 15:15:57.628,23.3,34.3,172
2022-11-10 15:15:56.353,23.2,34.2,170
2022-11-10 15:15:55.350,23.2,34.2,172
2022-11-10 15:15:54.072,23.2,34.3,170
2022-11-10 15:15:53.073,23.2,34.3,168
2022-11-10 15:15:51.795,23.2,34.3,167
2022-11-10 15:15:50.791,23.2,34.3,168
2022-11-10 15:15:49.512,23.2,34.3,169
2022-11-10 15:15:48.513,23.2,34.3,173
2022-11-10 15:15:47.234,23.3,34.5,172
2022-11-10 15:15:46.232,23.3,34.5,173
2022-11-10 15:15:44.957,23.2,34.4,173
2022-11-10 15:15:43.953,23.2,34.4,173
2022-11-10 15:15:42.675,23.2,34.4,172
